TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount
1,2025-05-05,1034,2059,402,0,2048.2
2,2025-05-05,1066,2048,403,1,321.87
3,2025-05-05,1116,2041,403,3,3216.84
4,2025-05-05,1071,2096,404,2,1613.23
5,2025-05-05,1020,2060,401,0,408.38
6,2025-05-05,1089,2028,401,0,1275.88
7,2025-05-05,1193,2003,402,1,346.66
8,2025-05-05,1005,2079,402,1,855.49
9,2025-05-05,1032,2060,401,1,735.08
10,2025-05-05,1119,2089,403,2,661.63
11,2025-05-05,1042,2077,401,1,505.65
12,2025-05-05,1079,2013,401,2,0.0
13,2025-05-05,1147,2086,404,3,4470.5
14,2025-05-05,1183,2025,401,1,503.32
15,2025-05-05,1026,2089,403,0,413.52
16,2025-05-05,1144,2005,403,3,1715.12
17,2025-05-05,1169,2047,401,2,535.97
18,2025-05-05,1003,2053,404,0,3660.9
19,2025-05-05,1110,2046,404,1,30.09
20,2025-05-05,1111,2022,403,3,671.18
21,2025-05-05,1119,2055,403,2,86.3
22,2025-05-05,1062,2011,403,3,1229.22
23,2025-05-05,1062,2096,404,3,672.18
24,2025-05-05,1086,2003,404,2,924.43
25,2025-05-05,1046,2062,402,2,1981.95
26,2025-05-05,1066,2043,403,2,698.76
27,2025-05-05,1142,2001,402,0,1237.05
28,2025-05-05,1061,2092,404,3,482.21
29,2025-05-05,1142,2097,402,3,4210.5
30,2025-05-05,1165,2091,404,3,4528.95
31,2025-05-05,1004,2011,403,1,737.53
32,2025-05-05,1103,2088,402,2,0.0
33,2025-05-05,1169,2074,403,3,0.0
34,2025-05-05,1141,2067,403,3,872.85
35,2025-05-05,1190,2070,403,2,54.69
36,2025-05-05,1179,2058,403,2,1066.8
37,2025-05-05,1064,2029,401,1,12.16
38,2025-05-05,1080,2015,402,1,3037.36
39,2025-05-05,1055,2094,404,2,1578.72
40,2025-05-05,1185,2075,403,0,0.0
41,2025-05-05,1049,2037,402,2,288.11
42,2025-05-05,1045,2038,401,1,1667.72
43,2025-05-05,1070,2005,401,2,686.05
44,2025-05-05,1178,2016,404,0,0.0
45,2025-05-05,1003,2073,403,3,1498.29
46,2025-05-05,1122,2056,403,1,944.5
47,2025-05-05,1013,2032,404,0,2836.8
48,2025-05-05,1016,2051,404,0,117.32
49,2025-05-05,1147,2080,401,1,0.0
